No.;Time;Comment;Scramble;Date;P.1
1;DNF(0.47);;L' B L U R' D R2 F' D R' B2 R F2 B2 R' F2 B2 L D2 R' D2;2025-08-23 19:52:21;0.47
2;DNF(18.73);;U' L' B2 R2 U' B' R' B' U D2 B2 R2 U' R2 L2 D' L2 R;2025-08-23 19:52:35;18.73
3;1:47.57;;U2 R2 D2 B' L2 D2 F R2 B2 L2 F2 D' F R' B D F2 D2 R';2025-08-23 19:53:18;1:47.57
4;DNF(0.25);;D2 R2 L' U F D' L2 B' R U2 F D2 F' U2 L2 B2 L2 D2 B R2 U2;2025-08-26 21:26:49;0.25
5;2:01.18;;R U' F2 R2 F D2 R2 B D2 B L2 R2 D2 R D' B U2 B D B2 L;2025-08-26 21:27:35;2:01.18
6;1:48.01;;L2 D2 R2 D L2 U F2 R2 F2 L2 U2 B2 L' U' R B' L2 D F';2025-09-01 19:36:44;1:48.01
7;1:17.24;;B D2 B U2 L2 F U2 B' U2 B' U2 D B2 U' F L D' L B L2;2025-09-01 19:46:44;1:17.24
8;2:01.85;;U' L2 D' B2 U' B2 U B2 R2 B2 U2 B' R D' U F2 R D' R;2025-09-01 19:48:47;2:01.85
9;1:44.63;;D L2 U L2 F2 R2 F2 D R2 D' B2 R2 F L U F2 R2 B2 U2 B' D';2025-09-01 19:58:04;1:44.63
10;1:40.63;;U2 B2 U2 B D2 B' L2 F U2 B2 L2 R B' D' F U L U2 L2 F U;2025-09-01 20:01:28;1:40.63
11;1:28.50;;L2 D2 F' L2 D2 L2 U2 F' R2 B' R2 D' B D' B' L' F' U F L;2025-09-01 20:04:30;1:28.50
12;1:32.93;;L' F L2 B2 L2 U2 F' D2 F' L2 R2 F L B D2 B2 U L U' L2;2025-09-01 20:13:20;1:32.93
13;1:57.57;;L2 U B D2 F2 L2 U' F2 D' B2 D' U2 B2 L' B F R U' F D2;2025-09-01 20:16:02;1:57.57
14;1:35.24;;D' R2 B D2 F' R2 B2 D2 B D2 F U2 F' U L F' U2 L' U2 R U';2025-09-01 20:19:06;1:35.24
15;1:21.50;;D' L2 U2 B' D L' B' D' R U' F2 B2 D' F2 U' F2 D2 B2 U' F2;2025-09-01 20:22:19;1:21.50
16;1:34.05;;U2 B L2 U' B2 D2 U' L2 U' R2 F2 R B' D2 L B' L2 U2 B2;2025-09-01 20:25:00;1:34.05
17;1:39.56;;B2 L2 F L2 F' L2 U2 B' U' B' D' B' L R2 F R' D2 U;2025-09-01 20:27:30;1:39.56
18;1:12.16;;U R F D2 B D2 R' F2 U2 D' B2 R2 U R2 D2 F2 R2 F2 B L2;2025-09-01 20:30:49;1:12.16
19;2:01.52;;B2 U2 L2 F2 L2 D' L2 U2 B2 U' R U' F D' U' F2 R' D B D';2025-09-01 20:37:15;2:01.52
20;1:15.07;;L U' L D' F' R' L F' R2 U L2 U R2 F2 D2 L2 F2 U2 D' F';2025-09-01 20:40:38;1:15.07
21;1:29.21;;U' B L2 D' F' U2 D F2 R F2 R2 U2 B2 R U2 L F2 L2 D2 U' F';2025-09-01 20:43:56;1:29.21
22;1:15.79;;U2 F' U2 R2 F' L2 F' D2 R F' D2 U' L' U' L2 R' B F2;2025-09-01 20:46:31;1:15.79
23;1:30.51;;U' R2 B2 U' F2 D2 L2 D' B2 D2 R F R' B2 L' U2 B' D2 R2 U';2025-09-01 20:49:11;1:30.51
24;1:26.60;;U' F U2 L2 U F2 D R2 U2 F2 R2 D2 B2 L F R' F' R2 F D R;2025-09-01 21:10:54;1:26.60
25;1:32.01;;L2 D F2 D2 B2 R2 D' B2 U2 B2 D' L2 B' R' D2 L B R2 D' U' F';2025-09-01 21:13:36;1:32.01
26;1:03.23;;D R2 U2 B2 D' U2 L2 U' F2 U' R2 F' L2 B2 F U' B2 R B D';2025-09-01 21:16:18;1:03.23
27;1:23.81;;B2 R2 D R2 F2 D' B2 R2 B2 R2 D F' R U' B' U F D2 L';2025-09-01 21:19:53;1:23.81
28;1:49.15;;D' R2 F D2 R2 F2 L2 U2 R2 D2 B2 U B2 U2 L D R B2 U' B D2;2025-09-01 21:33:05;1:49.15
29;1:41.88;;D2 F' R D2 L D2 B2 R2 D2 L' U2 B2 D2 F L' U F L' R U2;2025-09-01 21:36:08;1:41.88
30;1:21.70;;F' L F' B' D F R F L2 U2 L2 U R2 U' B2 U B2 D2 F2 B;2025-09-01 21:39:23;1:21.70
31;1:36.17;;U' B2 F2 R2 B2 D' U' B2 U' B2 F D B2 D2 B' L' D' L' F' U2;2025-09-01 21:45:49;1:36.17
32;1:54.91;;R L2 U F2 D2 B U' L' U2 D2 R2 F' R2 F' U2 F' U2 L2 B' R2;2025-09-01 21:53:33;1:54.91
33;1:46.34;;L' U2 F B2 R F2 L' U2 B2 L2 F2 U R2 U F2 D2 R2 B2 D B' R;2025-09-01 21:56:33;1:46.34
34;1:39.61;;L2 D2 F' D' R' B2 D U2 R2 U2 R2 F' R2 U2 F' L2 U2 F2 R' U' R2;2025-09-01 21:59:42;1:39.61
35;1:14.34;;R D2 F2 L2 B2 U2 R2 U B2 U L2 R2 B2 L' D2 U' L2 R' B' D L';2025-09-01 22:06:11;1:14.34
36;1:07.72;;R2 U' L' R2 D B2 U2 B2 R2 U L2 B2 U2 F L2 F2 D L B F' U;2025-09-01 22:07:36;1:07.72
37;1:20.49;;L2 F2 R2 B R' L' U' R2 F2 R2 F' L2 F D2 F' R2 U2 F2 U;2025-09-01 22:10:47;1:20.49
38;1:43.89;;U' F R' U' R L2 B D2 F' U B2 L2 D' L2 U2 F2 D L2 U;2025-09-01 22:15:14;1:43.89
39;1:37.76;;F' R2 B' D B2 U' B' R' L F' L2 F2 U B2 D' L2 F2 D' B2 U2 L2;2025-09-01 22:19:12;1:37.76
40;1:31.33;;D' B2 L D2 F' L' U2 D L' B R2 B L2 B2 L2 F' R2 U2 B';2025-09-01 22:23:29;1:31.33
41;1:20.74;;L2 F' R2 L' F2 U2 L' U' F B2 U2 B2 R' U2 L B2 L' U2 B2 L;2025-09-01 22:26:49;1:20.74
42;1:19.20;;D' F2 D' F2 U' F2 U2 B2 L2 R2 U2 B D' F' L' R D F' U B D';2025-09-01 22:29:11;1:19.20
43;1:47.79;;F' R' B2 U2 F2 U B2 L2 F2 U2 R2 F2 D' U2 L' R2 B' L2 D' B U';2025-09-01 22:33:31;1:47.79
44;1:17.69;;D' R2 U' L' B U B L2 F2 U L2 F2 B2 U2 L2 D R2 F2 D' F L';2025-09-01 22:37:00;1:17.69
45;1:23.33;;U2 F2 R B2 L2 U2 L' D2 U2 B2 R' U B D2 U' F' D2 R D U R';2025-09-01 22:40:06;1:23.33
46;DNF(41.28);;R2 L B R2 F' U' F' L F2 B R2 F R2 L2 B U2 L2 B L2 D;2025-09-01 22:46:02;41.28
47;1:45.93;;R B R2 D R2 F' L D R2 L D2 F2 L' B2 U2 L' B2 R' F2 U2 F';2025-09-01 22:46:53;1:45.93
48;2:13.89;;D F L' B2 R B2 U2 L D2 L2 F2 R U2 R2 D B' U B2 F' R2 B;2025-09-01 22:50:20;2:13.89
49;1:30.07;;B2 L2 U2 B2 L2 U' B2 F2 D2 U' R' F' U' F' D F2 D L F' R';2025-09-01 22:55:29;1:30.07
50;1:42.86;;R B' D2 U2 B L2 B2 R2 B2 U2 B' D2 R D L2 D L' R U F D;2025-09-01 22:59:32;1:42.86
51;1:39.08;;D' F2 R2 D' R2 D' L2 R2 D2 R2 D L D2 B L2 R' D2 R2 F' U B;2025-09-01 23:03:57;1:39.08
52;1:32.55;;F2 D B2 L' F' U R' F D2 L2 U2 F2 D' F2 D2 R2 L2 B';2025-09-01 23:06:49;1:32.55
53;1:40.62;;F2 L' F' B' U R B' R2 U2 B2 R D2 R' F2 D2 L' F2 L U2;2025-09-01 23:12:31;1:40.62
54;1:37.62;;L B2 L2 U2 R2 D2 R2 B' F2 R2 B D2 U' F2 R' D2 B' U L F';2025-09-01 23:16:27;1:37.62
55;1:27.01;;R' D2 R2 B' L2 R2 B2 U2 B D2 L2 B' L D' R' B D' F' L' U;2025-09-01 23:19:14;1:27.01
56;1:37.94;;R D2 B R2 F2 L2 U2 R2 B L2 F' D2 L' U' R' D F L2 R' U;2025-09-01 23:22:51;1:37.94
57;1:31.01;;R B L U' L2 F' B R2 U F2 D2 L2 D2 R' U2 F2 L2 B2 R D2;2025-09-01 23:26:13;1:31.01
58;1:41.40;;U' R D' F2 R' F2 B R L2 B2 U2 F' R2 F D2 B' D2 R2 B' L';2025-09-01 23:29:22;1:41.40
59;1:38.39;;R F2 L2 F R2 F U2 F' D2 F' U2 L2 D2 L F' D U' F L' R2 B';2025-09-01 23:32:39;1:38.39
60;1:39.31;;U2 R2 F2 R2 D' R2 U' F2 R2 D' F R' D2 L2 D U B' D2 L D';2025-09-01 23:36:24;1:39.31
61;1:17.32;;L2 D' R2 D2 L D2 U2 L' F2 L' D2 R2 F2 U2 D F2 L F' L' B D';2025-09-01 23:44:49;1:17.32